Date,AAPL_Close,AAPL_High,AAPL_Low,AAPL_Open,AAPL_Volume,AMZN_Close,AMZN_High,AMZN_Low,AMZN_Open,AMZN_Volume,NFLX_Close,NFLX_High,NFLX_Low,NFLX_Open,NFLX_Volume
2024-07-02,218.19012451171875,218.29908645117231,213.0689435868198,214.1090169642201,58046200,200.0,200.42999267578125,195.92999267578125,197.27999877929688,45600000,67.95800018310547,68.17400360107422,67.00700378417969,67.35399627685547,24114000
2024-07-03,219.45806884765625,219.45806884765625,216.96185912748342,217.92270133801432,37369800,197.58999633789062,200.02999877929688,196.75999450683594,199.94000244140625,31597900,68.2509994506836,68.375,67.55000305175781,67.74800109863281,14035000
2024-07-05,224.20281982421875,224.3117817727132,219.55710192478037,219.55710192478037,60412400,200.0,200.5500030517578,198.1699981689453,198.64999389648438,39858900,69.06500244140625,69.7490005493164,67.7229995727539,68.2509994506836,26591000
2024-07-08,225.6688232421875,225.69853875884533,221.14196808500662,224.9457053642915,59085900,199.2899932861328,201.1999969482422,197.9600067138672,200.0399932861328,34767300,68.5739974975586,68.88600158691406,68.14900207519531,68.69999694824219,19308000
2024-07-09,226.52072143554688,227.23392416937492,224.23253562897796,225.77780318070188,48076100,199.33999633789062,200.57000732421875,199.0500030517578,199.39999389648438,32700100,68.5739974975586,69.5270004272461,68.47200012207031,69.0,25961000
2024-07-10,230.78012084960938,230.87918266211804,227.08534498663496,227.1348758928893,62627700,199.7899932861328,200.11000061035156,197.69000244140625,200.0,32883800,67.76499938964844,68.72200012207031,67.31600189208984,68.50199890136719,26519000
2024-07-11,225.4212188720703,230.19569903805672,223.63821202212716,229.2051413563895,64710600,195.0500030517578,200.27000427246094,192.86000061035156,200.08999633789062,44565000,65.2750015258789,67.2490005493164,64.74400329589844,67.2490005493164,51066000
2024-07-12,228.3631591796875,230.44333633793113,226.52072130415218,226.75846058686048,53046500,194.49000549316406,196.47000122070312,193.8300018310547,194.8000030517578,30598500,64.76000213623047,65.59200286865234,64.37100219726562,65.2750015258789,33552000
2024-07-15,232.1867218017578,234.99000194235262,230.88909361652622,234.2470836578572,62631300,192.72000122070312,196.19000244140625,190.8300018310547,194.55999755859375,40683200,65.6449966430664,66.75399780273438,64.66300201416016,64.75,32088000
2024-07-16,232.60275268554688,234.03905824310993,230.1362587163494,232.781045805997,43234300,193.02000427246094,196.6199951171875,192.24000549316406,195.58999633789062,33994700,65.63200378417969,66.36799621582031,64.91300201416016,66.18000030517578,26857000
2024-07-17,226.71884155273438,229.2744821236097,224.49998695797876,227.2834515580279,57345900,187.92999267578125,191.5800018310547,185.99000549316406,191.35000610351562,48076100,64.74600219726562,65.04499816894531,63.946998596191406,65.0,40173000
2024-07-18,222.06320190429688,228.26410233218343,220.17124832102243,228.10560948409145,66034600,183.75,189.67999267578125,181.4499969482422,189.58999633789062,51043600,64.30400085449219,65.7040023803711,63.91699981689453,65.66000366210938,75758000
2024-07-19,222.19198608398438,224.65848009632384,221.1717129043359,222.6971801635164,49151500,183.1300048828125,184.92999267578125,180.11000061035156,181.13999938964844,43081800,63.33399963378906,67.89700317382812,62.9119987487793,66.06400299072266,98156000
2024-07-22,221.8452911376953,225.62921338494564,220.98349573063444,224.86647978572938,48201800,182.5500030517578,185.05999755859375,182.47999572753906,185.0,39931900,64.75,65.62899780273438,63.2599983215332,63.95000076293945,52191000
2024-07-23,222.8853759765625,224.7971601400939,220.57737479075328,222.25141967209163,39960300,186.41000366210938,189.38999938964844,183.55999755859375,184.10000610351562,47537700,64.2760009765625,64.99099731445312,64.0999984741211,64.75,24636000
2024-07-24,216.47647094726562,222.67737176080064,215.07979609138368,221.88492258576645,61777600,180.8300018310547,185.4499969482422,180.41000366210938,183.1999969482422,41532400,63.5989990234375,65.24199676513672,63.266998291015625,63.57400131225586,48882000
2024-07-25,215.43638610839844,218.76466037633443,212.59347540961954,216.86277641061952,51391200,179.85000610351562,183.89999389648438,176.8000030517578,182.91000366210938,44464200,63.409000396728516,64.99800109863281,62.16999816894531,64.0999984741211,45545000
2024-07-26,215.9019317626953,217.4174836156479,213.97033243488113,216.63493468142264,41601300,182.5,183.19000244140625,180.24000549316406,180.38999938964844,29506000,63.137001037597656,64.6989974975586,62.97700119018555,64.5,31207000
2024-07-29,216.17926025390625,217.22924871761586,213.71276679720026,214.91134794512027,36311800,183.1999969482422,184.75,182.3800048828125,183.83999633789062,33270100,62.69599914550781,63.46099853515625,62.393001556396484,63.46099853515625,24005000
2024-07-30,216.7340087890625,218.24956072806748,214.07930652606245,217.1203256536185,41643800,181.7100067138672,185.86000061035156,179.3800048828125,184.72000122070312,39508600,62.257999420166016,63.46900177001953,61.70000076293945,63.016998291015625,34966000
2024-07-31,219.98304748535156,221.70662325926872,218.54674189777583,219.34909118598728,50036300,186.97999572753906,187.94000244140625,184.4600067138672,185.0500030517578,41667300,62.834999084472656,63.36000061035156,62.257999420166016,62.65700149536133,31349000
2024-08-01,216.29818725585938,222.36039574716864,214.97084352071977,222.2514337919132,62501000,184.07000732421875,190.60000610351562,181.8699951171875,189.2899932861328,70435600,62.48500061035156,64.6709976196289,61.76100158691406,62.92499923706055,37206000
2024-08-02,217.7839813232422,223.4697870434651,215.6542886583774,217.08067881945357,105568600,167.89999389648438,168.77000427246094,160.5500030517578,166.75,141448400,61.36399841308594,62.527000427246094,60.834999084472656,62.097999572753906,35230000
2024-08-05,207.29400634765625,211.4840610296135,194.14930192882554,197.21012147966275,119548600,161.02000427246094,162.9600067138672,151.61000061035156,154.2100067138672,83149400,59.85499954223633,60.45600128173828,58.70399856567383,58.70399856567383,40442000
2024-08-06,205.27325439453125,208.00720313955475,199.17143085232243,203.36148541473497,69660500,161.92999267578125,165.0800018310547,158.5399932861328,161.7100067138672,59950800,60.957000732421875,62.244998931884766,60.0620002746582,60.0620002746582,43191000
2024-08-07,207.8388214111328,211.62274392073394,204.4412006806638,204.94637966039352,63516400,162.77000427246094,167.5800018310547,161.42999267578125,166.5500030517578,48408200,61.14799880981445,63.20000076293945,61.06399917602539,61.606998443603516,31878000
2024-08-08,211.29583740234375,212.1774330540979,206.85814362500793,211.0977289070064,47161100,165.8000030517578,166.69000244140625,162.5500030517578,165.1699981689453,44616200,63.03499984741211,63.229000091552734,61.60200119018555,62.19900131225586,32835000
2024-08-09,214.1981964111328,214.7330909034816,209.96851092003678,210.09728825409005,42201600,166.94000244140625,168.5500030517578,165.85000610351562,166.39999389648438,36401000,63.39400100708008,63.6619987487793,62.29899978637695,62.29899978637695,19808000
2024-08-12,215.72540283203125,217.6889728146819,213.81142108338884,214.27752324509848,38028100,166.8000030517578,168.5500030517578,166.11000061035156,168.13999938964844,30072800,63.31399917602539,63.900001525878906,62.707000732421875,63.099998474121094,23317000
2024-08-13,219.4344024658203,220.04925425523973,217.19314118814535,217.19314118814535,44155300,170.22999572753906,171.0399932861328,167.10000610351562,167.80999755859375,39237900,64.802001953125,65.09700012207031,63.54999923706055,63.85599899291992,26396000
2024-08-14,219.88064575195312,221.1797757696837,217.87739912826086,218.7401920302427,41960600,170.10000610351562,172.27999877929688,168.86000061035156,172.11000061035156,28843800,66.16799926757812,66.35700225830078,64.87000274658203,64.87000274658203,40143000
2024-08-15,222.8557586669922,223.48053712623224,220.9120118672479,222.7367590108339,46414000,177.58999633789062,177.91000366210938,173.99000549316406,174.86000061035156,51698500,66.3219985961914,67.31900024414062,65.9800033569336,66.8489990234375,32102000
2024-08-16,224.1747283935547,224.94825642777528,221.79462933024135,222.06239369045758,44340200,177.05999755859375,178.33999633789062,176.25999450683594,177.0399932861328,31489200,67.40699768066406,68.02300262451172,66.53600311279297,66.94300079345703,35110000
2024-08-19,224.0160675048828,224.115243980586,221.18970440160442,223.84747960195193,40687800,178.22000122070312,178.3000030517578,176.16000366210938,177.63999938964844,31129800,68.85299682617188,68.88400268554688,67.29100036621094,67.40699768066406,30162000
2024-08-20,224.6309356689453,225.2854641390349,223.57973153152028,223.89708417115403,30299000,178.8800048828125,179.00999450683594,177.42999267578125,177.9199981689453,26255200,69.85399627685547,71.13300323486328,68.82499694824219,68.88600158691406,48131000
2024-08-21,224.52182006835938,226.08871448701353,223.1830285060583,224.64083485973637,34765500,180.11000061035156,182.38999938964844,178.88999938964844,179.9199981689453,35599100,69.71199798583984,70.0999984741211,69.13800048828125,69.69999694824219,22353000
2024-08-22,222.6673583984375,226.44574924370923,222.04257986640772,225.90030886909642,43695300,176.1300048828125,181.47000122070312,175.67999267578125,181.3800048828125,32047500,68.89600372314453,70.1500015258789,68.6240005493164,69.0999984741211,27294000
2024-08-23,224.9581756591797,226.32673228874265,222.46900358067504,223.78797197411373,38677300,177.0399932861328,178.97000122070312,175.24000549316406,177.33999633789062,29150100,68.6729965209961,69.60700225830078,67.86299896240234,69.41300201416016,23545000
2024-08-26,225.2953643798828,225.39454085782168,222.0326640536948,224.87885041051024,30602200,175.5,177.47000122070312,174.3000030517578,176.6999969482422,22366200,68.84400177001953,69.05899810791016,68.16400146484375,68.72599792480469,13542000
2024-08-27,226.13832092285156,226.95152567852384,223.02437015551794,224.1251624880706,35934600,173.1199951171875,174.88999938964844,172.25,174.14999389648438,29842000,69.5719985961914,70.78900146484375,68.69200134277344,68.85299682617188,31649000
2024-08-28,224.611083984375,227.95312221094204,223.80779089178384,226.02921369079436,38052200,170.8000030517578,173.69000244140625,168.9199981689453,173.69000244140625,29045000,68.38400268554688,69.66699981689453,67.70999908447266,69.58300018310547,24306000
2024-08-29,227.88369750976562,230.98773644426686,226.98125820388418,228.19113851748892,51906300,172.1199951171875,174.2899932861328,170.80999755859375,173.22000122070312,26407800,69.24800109863281,69.9800033569336,68.60700225830078,69.0,21870000
2024-08-30,227.1002655029297,228.4886453526855,225.59287085733376,228.28039594132485,52990800,178.5,178.89999389648438,172.60000610351562,172.77999877929688,43429400,70.13500213623047,70.18599700927734,68.81600189208984,70.03600311279297,32667000
2024-09-03,220.92196655273438,227.1002799762046,219.33523365285652,226.65401607692846,50190600,176.25,178.25999450683594,175.25999450683594,177.5500030517578,37817500,67.53199768066406,70.38600158691406,67.10099792480469,70.01000213623047,31610000
2024-09-04,219.01788330078125,219.94016096302124,215.67582978550038,219.82116129878526,43840200,173.3300018310547,175.97999572753906,172.5399932861328,174.47999572753906,30309200,67.96800231933594,68.46499633789062,67.30599975585938,67.33100128173828,17853000
2024-09-05,220.53518676757812,223.60946073514918,219.6823205428289,219.79140861107143,36615400,177.88999938964844,179.8800048828125,175.0,175.0,40170500,68.36199951171875,68.73100280761719,67.18599700927734,67.31400299072266,18101000
2024-09-06,218.98812866210938,223.37145940933704,217.94683622588397,222.09215251756703,48423000,171.38999938964844,178.3800048828125,171.16000366210938,177.24000549316406,41466500,66.5770034790039,68.31500244140625,66.23400115966797,68.18599700927734,29913000
2024-09-09,219.07737731933594,219.4343914347755,214.91222272734436,218.98812757352732,67180000,175.39999389648438,175.85000610351562,173.50999450683594,174.52999877929688,29037400,67.54199981689453,68.3499984741211,67.21399688720703,67.4000015258789,26831000
2024-09-10,218.2840118408203,219.6426417511051,214.9320468059923,217.10388142289187,51591000,179.5500030517578,180.5,176.7899932861328,177.49000549316406,36233800,67.36199951171875,68.05899810791016,66.58100128173828,67.68699645996094,20792000
2024-09-11,220.8128662109375,221.2392917639212,216.08243282408242,219.6228241682371,44587100,184.52000427246094,184.99000549316406,175.72999572753906,180.10000610351562,42564700,68.14700317382812,68.2969970703125,66.08000183105469,67.74600219726562,23919000
2024-09-12,220.92196655273438,221.6954946800681,217.99644195502805,220.65420216028613,37455600,187.0,187.41000366210938,183.5399932861328,184.8000030517578,33544200,68.68000030517578,69.48799896240234,68.22000122070312,68.49199676513672,25821000
2024-09-13,220.6541748046875,222.18139254741286,220.06907298412548,221.72521710949164,36766600,186.49000549316406,188.5,185.91000366210938,187.0,26495400,69.70600128173828,69.96399688720703,68.0,68.0009994506836,22765000
2024-09-16,214.52545166015625,215.41797935337752,212.14535259122513,214.7436126542421,59357400,184.88999938964844,185.80999755859375,183.36000061035156,185.2899932861328,26065500,69.6500015258789,70.302001953125,68.86299896240234,70.0,18437000
2024-09-17,214.9915313720703,215.10061943149995,212.7205355758407,213.96016573653907,45519300,186.8800048828125,189.4499969482422,186.13999938964844,186.85000610351562,26091700,70.69100189208984,70.76300048828125,69.83699798583984,70.08200073242188,22986000
2024-09-18,218.8592071533203,220.86245391858552,215.7353297749969,215.7452565018275,59894900,186.42999267578125,188.8000030517578,185.05999755859375,186.4499969482422,34448100,69.0469970703125,70.75499725341797,68.80000305175781,70.75499725341797,29844000
2024-09-19,226.97134399414062,227.91347512552952,222.76652771175563,223.12354184254357,66781300,189.8699951171875,190.99000549316406,188.47000122070312,190.0399932861328,39543200,70.43199920654297,71.56600189208984,69.53700256347656,70.5,42285000
2024-09-20,226.30690002441406,231.15633305592988,225.7317097608303,228.06222073119503,318679900,191.60000610351562,191.83999633789062,187.41000366210938,190.22999572753906,100378600,70.10299682617188,70.66699981689453,69.63099670410156,70.55500030517578,39981000
2024-09-23,224.5912628173828,227.54653724680347,223.93673438033483,225.45404067299683,54146000,193.8800048828125,194.4499969482422,190.57000732421875,191.63999938964844,36993100,70.53700256347656,71.2249984741211,69.91600036621094,70.23899841308594,32243000
2024-09-24,225.48377990722656,227.44736512534206,223.85738561877668,226.75316007712865,43556100,193.9600067138672,195.3699951171875,190.1300048828125,194.27000427246094,43478900,72.22599792480469,72.24400329589844,70.44499969482422,70.66300201416016,35657000
2024-09-25,224.4920654296875,225.40443143928672,222.16156973744518,223.06400902085235,42308700,192.52999877929688,193.9499969482422,192.16000366210938,193.75,26391100,72.15599822998047,72.51200103759766,71.62100219726562,72.0999984741211,22598000
2024-09-26,225.63255310058594,226.60441901953834,223.54005654723983,225.4143769570366,36636700,191.16000366210938,194.52999877929688,189.5399932861328,194.30999755859375,36334900,71.14299774169922,72.5260009765625,70.1719970703125,72.4729995727539,28330000
2024-09-27,225.90028381347656,227.61594290444046,225.41435845997736,226.56473891662026,34026000,187.97000122070312,190.89999389648438,187.33999633789062,190.67999267578125,36002300,70.73500061035156,71.07099914550781,70.125,70.83599853515625,23956000
2024-09-30,231.06707763671875,231.06707763671875,227.74486252768645,228.13162655878588,54541900,186.3300018310547,188.49000549316406,184.64999389648438,187.13999938964844,41583900,70.927001953125,71.12100219726562,70.28199768066406,70.69999694824219,17099000
